AD_LEVEL,TA_ID,TAMBON_T,TAMBON_E,AM_ID,AMPHOE_T,AMPHOE_E,CH_ID,CHANGWAT_T,CHANGWAT_E,LAT,LONG
4,110413,ต. ทรงคนอง,Song Khanong,1104,อ. พระประแดง,Phra Pradaeng,11,จ. สมุทรปราการ,Samut Prakarn,13.665,100.545
4,120203,ต. บางสีทอง,Bang Si Thong,1202,อ. บางกรวย,Bang Kruai,12,จ. นนทบุรี,Nonthaburi,13.818,100.479
4,900803,ต. เชิงแส,Choeng Sae,9008,อ. กระแสสินธุ์,Krasae Sin,90,จ. สงขลา,Songkhla,7.561,100.356
4,730303,ต. วัดแค,Wat Khae,7303,อ. นครชัยศรี,Nakhon Chai Si,73,จ. นครปฐม,Nakhon Pathom,13.814,100.175
4,830103,ต. เกาะแก้ว,Ko Kaeo,8301,อ. เมืองภูเก็ต,Mueang Phuket,83,จ. ภูเก็ต,Phuket,7.936,98.427
4,260101,ต. นครนายก,Nakhon Nayok,2601,อ. เมืองนครนายก,Mueang Nakhon Nayok,26,จ. นครนายก,Nakhon Nayok,14.198,101.233
4,140407,ต. แคออก,Khae Ok,1404,อ. บางไทร,Bang Sai,14,จ. พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.305,100.472
4,110410,ต. บางน้ำผึ้ง,Bang Nam Phueng,1104,อ. พระประแดง,Phra Pradaeng,11,จ. สมุทรปราการ,Samut Prakarn,13.679,100.578
4,501302,ต. ทรายมูล,Sai Mun,5013,อ. สันกำแพง,San Kamphaeng,50,จ. เชียงใหม่,Chiang Mai,18.735,99.136
4,750207,ต. บางพรม,Bang Phrom,7502,อ. บางคนที,Bang Khonthi,75,จ. สมุทรสงคราม,Samut Songkhram,13.452,99.955
4,800102,ต. ท่าวัง,Tha Wang,8001,อ. เมืองนครศรีธรรมราช,Mueang Nakhon Si Thammarat,80,จ. นครศรีธรรมราช,Nakhon Si Thammarat,8.449,99.961
